review,bigram,n,tf,idf,tf_idf
957,of the,1,0.0232558139534884,0.478035800943,0.0111171116498372
416,of the,1,0.0204081632653061,0.478035800943,0.00975583267230612
492,of the,1,0.0163934426229508,0.478035800943,0.00783665247447541
185,of the,1,0.0151515151515152,0.478035800943,0.00724296668095454
63,of the,1,0.0144927536231884,0.478035800943,0.00692805508613043
756,of the,1,0.0131578947368421,0.478035800943,0.00628994474925
946,of the,1,0.0102040816326531,0.478035800943,0.00487791633615306
795,of the,2,0.0099009900990099,0.478035800943,0.00473302773210891
903,of the,1,0.00925925925925926,0.478035800943,0.00442625741613889
599,of the,2,0.00869565217391304,0.478035800943,0.00415683305167826
41,of the,1,0.00869565217391304,0.478035800943,0.00415683305167826
182,of the,1,0.00840336134453781,0.478035800943,0.00401710757094958
581,of the,1,0.00840336134453781,0.478035800943,0.00401710757094958
286,of the,1,0.00826446280991736,0.478035800943,0.00395070909870248
645,of the,2,0.008,0.478035800943,0.003824286407544
19,of the,1,0.008,0.478035800943,0.003824286407544
251,of the,1,0.0078125,0.478035800943,0.00373465469486719
410,of the,3,0.00763358778625954,0.478035800943,0.00364912825147328
116,of the,2,0.00763358778625954,0.478035800943,0.00364912825147328
956,of the,1,0.0075187969924812,0.478035800943,0.00359425414242857
233,of the,1,0.00746268656716418,0.478035800943,0.00356743135032089
28,of the,1,0.00719424460431655,0.478035800943,0.00343910648160431
757,of the,1,0.00719424460431655,0.478035800943,0.00343910648160431
610,of the,1,0.00699300699300699,0.478035800943,0.0033429076989021
963,of the,3,0.00689655172413793,0.478035800943,0.0032967986271931
220,of the,1,0.00680272108843537,0.478035800943,0.00325194422410204
338,of the,1,0.00613496932515337,0.478035800943,0.00293273497511043
771,of the,3,0.00555555555555556,0.478035800943,0.00265575444968333
812,of the,1,0.00555555555555556,0.478035800943,0.00265575444968333
964,of the,4,0.00543478260869565,0.478035800943,0.00259802065729891
129,of the,1,0.00531914893617021,0.478035800943,0.00254274362203723
112,of the,3,0.00529100529100529,0.478035800943,0.00252928995207936
362,of the,1,0.00523560209424084,0.478035800943,0.00250280524053927
496,of the,3,0.00515463917525773,0.478035800943,0.00246410206671649
682,of the,3,0.00442477876106195,0.478035800943,0.00211520265903982
990,of the,1,0.0043859649122807,0.478035800943,0.00209664824975
96,of the,1,0.0040650406504065,0.478035800943,0.00194323496318293
40,of the,1,0.00392156862745098,0.478035800943,0.00187465019977647
263,of the,1,0.00392156862745098,0.478035800943,0.00187465019977647
603,of the,3,0.00377358490566038,0.478035800943,0.00180390868280377
186,of the,2,0.0037037037037037,0.478035800943,0.00177050296645555
