review,bigram,n,total
694,of the,11,866
315,the book,8,404
899,ha ha,8,336
990,this movie,8,251
219,of the,7,428
321,and his,7,932
364,in the,7,802
367,of the,7,346
588,ice cream,7,735
603,the show,7,288
364,with the,6,802
694,the martians,6,866
694,this film,6,866
129,it is,5,208
364,is a,5,802
520,of the,5,396
618,i was,5,264
868,to the,5,357
940,in the,5,425
1,of the,4,304
51,martial arts,4,415
51,to the,4,415
96,in the,4,258
129,this movie,4,208
199,of the,4,495
219,from the,4,428
219,to the,4,428
220,this movie,4,159
227,of a,4,297
227,of the,4,297
315,read the,4,404
321,and the,4,932
321,in his,4,932
321,in the,4,932
323,from the,4,717
323,if you,4,717
323,of the,4,717
364,he had,4,802
364,hollywood cavalcade,4,802
364,of the,4,802
496,american nightmare,4,204
509,2 10,4,125
520,ice t,4,396
520,the film,4,396
552,the movie,4,125
588,big companies,4,735
588,his wife,4,735
588,in a,4,735
588,of his,4,735
588,of the,4,735
588,to the,4,735
682,in the,4,242
694,in a,4,866
694,in his,4,866
694,of a,4,866
742,performance as,4,354
817,at the,4,431
846,judas kiss,4,231
868,the batman,4,357
964,of the,4,190
990,a movie,4,251
1,to the,3,304
67,and dark,3,339
67,and the,3,339
67,lite and,3,339
81,a man,3,159
81,is a,3,159
81,man who,3,159
90,in the,3,350
96,cristy brown,3,258
112,of the,3,199
112,with the,3,199
129,the movie,3,208
182,is very,3,125
182,this film,3,125
199,in the,3,495
199,little big,3,495
199,the picture,3,495
219,in the,3,428
219,of a,3,428
227,a new,3,297
227,an orange,3,297
227,to the,3,297
283,i think,3,163
286,this movie,3,130
315,a little,3,404
321,a new,3,932
321,and a,3,932
321,and to,3,932
321,as an,3,932
321,back to,3,932
321,from his,3,932
321,he says,3,932
321,to a,3,932
321,with his,3,932
323,by the,3,717
323,in the,3,717
323,rather than,3,717
323,sci fi,3,717
323,the predator,3,717
323,the way,3,717
338,this movie,3,169
362,have been,3,196
364,as well,3,802
364,it is,3,802
364,mack sennett,3,802
364,movie is,3,802
364,of comedy,3,802
364,this movie,3,802
367,this series,3,346
407,if you,3,172
407,this movie,3,172
410,of the,3,133
496,of the,3,204
520,and the,3,396
520,kills the,3,396
520,movie was,3,396
520,the scene,3,396
520,this movie,3,396
520,to the,3,396
547,this movie,3,169
588,are not,3,735
588,cream companies,3,735
588,don't see,3,735
588,in his,3,735
588,in the,3,735
588,the film,3,735
588,the town,3,735
588,to a,3,735
603,attack of,3,288
603,of the,3,288
603,sarah lane,3,288
603,to be,3,288
618,it was,3,264
682,of the,3,242
694,as the,3,866
694,as wells,3,866
694,film the,3,866
694,in the,3,866
694,is played,3,866
694,the destruction,3,866
694,the narrator,3,866
694,the worlds,3,866
694,war of,3,866
694,white to,3,866
694,with some,3,866
698,it is,3,152
698,the real,3,152
705,small town,3,202
742,in the,3,354
742,the book,3,354
757,it is,3,141
771,of the,3,188
795,this film,3,111
804,what you,3,268
812,by her,3,188
817,70 s,3,431
817,a marine,3,431
817,as a,3,431
817,baby blue,3,431
817,in the,3,431
817,marine raider,3,431
817,of the,3,431
846,alan rickman,3,231
868,as the,3,357
868,is a,3,357
868,the first,3,357
868,this film,3,357
899,and over,3,336
899,over and,3,336
947,from the,3,315
947,in the,3,315
947,is a,3,315
947,of the,3,315
947,the movies,3,315
963,of the,3,149
963,this movie,3,149
988,monkey island,3,95
990,movie was,3,251
990,on a,3,251
990,the past,3,251
990,this was,3,251
1,due to,2,304
1,is not,2,304
1,struck me,2,304
1,the first,2,304
1,the word,2,304
1,this is,2,304
19,cinema now,2,129
19,it was,2,129
19,the tigers,2,129
19,this film,2,129
28,to be,2,140
40,declaration of,2,263
40,it was,2,263
40,my husband,2,263
40,of independence,2,263
40,that it's,2,263
40,the declaration,2,263
40,the movie,2,263
40,was that,2,263
41,good actors,2,117
41,this movie,2,117
51,36th chamber,2,415
51,and the,2,415
51,at the,2,415
51,fight scenes,2,415
51,film is,2,415
51,kung fu,2,415
51,on the,2,415
51,one of,2,415
51,return to,2,415
51,the 36th,2,415
51,the fight,2,415
51,the protagonist,2,415
